Complexity Measure,Value
F1,0.916459568
F1v,0.104381534
F2,0.059173065
F3,0.937489692
F4,0.87893782
N1,0.21556985
N2,0.449203931
N3,0.138875144
N4,0.019132443
N5,0.848754742
N6,0.997132315
L1,0.055670955
L2,0.070262246
L3,0.036945407
D1,0.002803892
D2,0.002309088
D3,0.823529412
B1,0.0167098
B2,0.045109352
G1,0.884057602
G2,0.281953735
G3,0.771694908
