Complexity Measure,Increase (%)
F1,1.7317995005516829
F1v,44.25384655284483
F2,8.2286757466898
F3,9.478718703558918
F4,14.934899982122248
N1,33.987615612146385
N2,1.1292855467284553
N3,45.44187519013073
N4,49.84898216721811
N5,0.522716948025679
N6,0.12036813585414334
L1,63.01099114468941
L2,67.0925339641745
L3,154.19252370518421
